nombre;categoria;direccion;ciudad;cp;telefono;web;rating;reviews;lat;lng
Divertidogs Santa Pola;Entrenador de mascotas;;;;667 51 00 02;https://divertidogs.es/;5;0;;
Psicocanina;Adiestrador canino;;;;672 27 11 58;https://www.psicocanina.es/;5;0;;
VILLA AFRODITA;Adiestrador canino;;;;698 61 25 29;;5;0;;
Can's College - Guardería Canina;Guardería canina;Av. de Alberto Alcocer, 45;28016 Madrid;;606 72 96 59;https://canscollege.com/;5;0;;
Perfect Paws Pet Spa;Peluquero de mascotas;;;;+52 81 8027 9616;https://mtyterriers.wixsite.com/perfectpaws;5;0;;
Dog Walking Alicante;Paseador de perros;Av. Alcoi, 60, 1 dcha;03010 Alicante;;685 30 21 76;https://www.instagram.com/culturanatura.alicante/?hl=es;5;0;;
Sit Stay Play;Guardería canina;815 N Las Palmas Ave;Estados Unidos;;+1 323-877-5928;https://pocketsuite.io/lead/sit-stay-play;5;0;;
Juethalma;Peluquero de mascotas;Av. del Mediterráneo, 26;Málaga;;613 56 48 24;https://instagram.com/juethalmaestilismocanino?igshid=YmMyMTA2M2Y=;5;0;;
Chiki park Parque para perros;Parque;C. del Puerto de Costabona, 3;28018 Madrid;;;;5;0;;
Golden Beauty Pets;Veterinario;Jardines de Malaga 7510 Guadalupe;México;;+52 81 8178 4967;https://www.facebook.com/goldenbpets/;5;0;;
Pet Chic;Tienda de productos para mascotas;C Sagasta, 1;30004 Murcia;;621 24 32 00;https://petchicshop.es/;5;0;;
Mr. Rufo Peluquería Canina;Peluquero de mascotas;C. Juan Aguilar Amat, 15;Murcia;;634 44 69 34;;5;0;;
Chic Guagua Peluquería Canina;Peluquero de mascotas;Calle de Elvira, 22;28028 Madrid;;635 86 02 12;https://www.instagram.com/chic_guagua/;5;0;;
Peluquería Canina Salón Tafurth;;C. San Delfín, 4;28019 Madrid;;613 11 69 14;;5;0;;
Alba. Centro de estética y bienestar animal;Peluquero de mascotas;Carrer de Marbella, 20;Illes Balears;;670 60 58 72;https://peluqueriacaninaalba.com/;5;0;;
AROCAN Educación Canina Respetuosa;Adiestrador canino;;;;635 46 17 69;;5;0;;
Corazón con Patas;Adiestrador canino;;;;663 71 10 70;https://instagram.com/corazonconpatasec?igshid=YmMyMTA2M2Y=;5;0;;
Milacky | Peluquería canina en Zaragoza;Peluquero de mascotas;C. de Vicente Berdusán, Bloque A-1, Local;50010 Zaragoza;;614 97 20 35;https://www.milacky.com/;5;0;;
Cuidados mascotas BCN;Guardería canina;Passatge d'Alí Bei, 4;08018 Barcelona;;614 27 70 80;https://dl.appwebel.com/t5F5VJMX;5;0;;
Michis & Guaguas;Guardería canina;urbanización los tréboles;Sevilla;;658 29 03 34;;5;0;;
Fancy Pet Trc;Peluquería;;;;+52 871 132 7821;;5;0;;
Oxxo Ramon Córdoba;Tienda de productos para mascotas;Esquina Con, Rio Conchos 226 Rio Conchos, Ramón Córdova;México;;+52 81 8320 2020;https://www.oxxo.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp;5;0;;
Residencia canina sin jaulas;Guardería canina;San Adrian Kalea, 10;Bizkaia;;614 34 09 51;https://www.instagram.com/araitz.cuidadoracanina?igsh=YnZpbXFvbmsyOW10;5;0;;
Guarderia canina Vidaperrabarcelona;Guardería canina;;;;699 28 62 36;;5;0;;
Neurología y Neurocirugía Veterinaria;Veterinario;Carrer de la Reina Esclaramunda, 6, baixos;Balearic Islands;;971 12 48 66;http://www.memvet.com/;5;0;;
Pilar Pérez Educadora Canina;Adiestrador canino;;;;645 48 65 03;https://pilarperezeducadoracanina.com/;5;0;;
SMILEDOG adiestrador canino;Adiestrador canino;C. Valdemoro, 7;Madrid;;647 88 68 48;http://www.smiledog.es/;5;0;;
Dogtopia;Guardería canina;C. de Uruguay, 10;28016 Madrid;;616 98 82 80;https://www.dogtopia.es/;5;0;;
Estilismo Canino Raquel Ors;Peluquero de mascotas;Avinguda de la Costa Blanca, 21, Loc 24, C.C;03540 Alicante;;692 09 29 62;https://www.instagram.com/estilismocanino_raquelors?igsh=MWdseGEwb240N3VpYg==&utm_source=qr;5;0;;
KEEP CAN MALLORCA;Guardería canina;MP5F+HR9;Balearic Islands;;640 75 44 33;https://calendar.google.com/calendar/u/0/embed?src=61b34b748257cb6fbdde85d064fc4c467266cbc257e9541c94f21a8055280f27@group.calendar.google.com&ctz=Europe/Brussels;5;0;;
La Caseta Del Dolç;Guardería canina;Carrer Cooperativa, 1, Local 10 Bis;Barcelona;;624 21 00 47;https://www.lacasetadeldolc.com/;5;0;;
Kevino.can;Adiestrador canino;C. Fernando Sagaseta, 10;Las Palmas;;671 23 12 80;https://www.instagram.com/kevino.can?igsh=ejdrOGVsMGFlM3k4;5;0;;
Utopía;Adiestrador canino;;;;677 03 49 64;https://utopiaeducacioncanina.com/;5;0;;
Peluqueria Canina en Barcelona - Kom Qom Spa Grooming;Peluquero de mascotas;Carrer de Pi i Margall, 85;08024 Barcelona;;628 89 88 41;https://www.kom-qom.com/;5;0;;
Daysi - Lu;Guardería canina;Av 14 50;México;;+52 271 125 2793;;5;0;;
Canis Land;Guardería canina;Diseminado Venta Dulce, 59A;Murcia;;625 63 70 50;;5;0;;
Armonía Canina;Guardería canina;Callejon de La Dehesa, 385;Sevilla;;609 03 48 22;https://armoniacaninasevilla.com/;5;0;;
Peluquería canina;Peluquero de mascotas;Camí de Son Rapinya, 105;Illes Balears;;871 73 83 90;;5;0;;
PuroGuau | Adiestramiento canino en Valencia;Adiestrador canino;;;;622 69 99 43;https://puroguau.com/adiestramiento-canino-valencia/;5;0;;
Veterinaria Villas Zaragoza;Veterinario;C. Villa del Trueno 902;México;;+52 871 174 3921;;5;0;;
Guardería Mascotas;Guardería canina;;;;;https://www.facebook.com/Guarderiamascotasmx/;5;0;;
Maskotak Pepito, SL;Tienda de productos para mascotas;Iparraguirre Kalea, 50;Biscay;;;;5;0;;
Arenales Veterinaria;Veterinario;Blvr. Mieleras 5-5 km;México;;+52 871 104 5996;;5;0;;
C. Los cautivos;Refugio para animales;C-15;Murcia;;;;5;0;;
Dog Scouts Madrid Río;Cuidador de mascotas;Parque Lineal del Manzanares;28041 Madrid;;919 93 20 60;http://www.dogscouts-madridrio.com/;5;0;;
Can's Chill Out;Guardería canina;C. de Zurita, 21;28012 Madrid;;680 41 83 14;http://www.canschillout.com/;5;0;;
RANGEL'S - Peluquería Canina & Boutique;Peluquero de mascotas;Diego Lopez Haroko Kale Nagusia, 69, Lonja 2D;Biscay;;946 46 79 41;http://www.rangels.es/;5;0;;
Madrid Canino;Adiestrador canino;C. de Antonio Rodríguez Villa, 9;28002 Madrid;;638 59 26 13;https://madridcanino.com/;5;0;;
CLINEQUINA-JM.Trens;Veterinario;Ronda Fort Roig 15-20, 1er;17007 Girona;;617 43 11 38;http://www.clinequina.com/;5;0;;
.;Adiestrador canino;;;;;;5;0;;
Somos Clan;Adiestrador canino;;;;656 45 65 28;https://somosclan.com/;5;0;;
Guia su Huella;Adiestrador canino;;;;603 43 98 67;;5;0;;
LUXURY CAN;Peluquero de mascotas;C. de José Garrote Tebar, 6;47014 Valladolid;;611 76 33 30;;5;0;;
Zona ZECA - Parque Canino;Parque para perros;Pl. Circular, 3, bajo;30008 Murcia;;;;5;0;;
Paw&Go - Autolavado de perros y peluquería canina;Peluquero de mascotas;C. de Fernando el Católico, 42;28015 Madrid;;676 23 41 03;https://pawgo.es/;5;0;;
Cleo Cuida Peludos · Guardería canina familiar en Valencia;Cuidador de mascotas;C. Agustin Lara;Valencia;;640 94 91 18;http://cleocuidapeludos.my.canva.site/cleocuidapeludos;5;0;;
Mocca Project;Peluquero de mascotas;Carrer del Riu Güell, 25;17001 Girona;;643 71 14 48;http://moccaproject.com/;5;0;;
Pablo Vet;Veterinario;C. Manuel Dovado, 4;Málaga;;644 90 98 80;http://pablovet.es/;5;0;;
✅ Educación AlmAnimal - Educador Canino en Valencia;Adiestrador canino;;;;686 44 57 94;https://sites.google.com/view/adiestramientocaninoalmanimal;5;0;;
Gosing;Adiestrador canino;;;;;https://www.gosing.es/;5;0;;
Akindi Málaga - Adiestramiento canino;Adiestrador canino;29570 Vega Riaran;Málaga;;669 00 61 71;https://akindi.es/adiestramiento-y-educacion-canina-en-malaga/?utm_source=seolocal&utm_medium=adiestramiento-cantabria&utm_campaign=web;5;0;;
Mairata Veterinari;Veterinario;Carrer de Joan Alcover, 64;Illes Balears;;690 99 04 56;http://www.mairataveterinari.es/;5;0;;
Villachata bulls;Criador canino;C. del Romero, 1;Murcia;;633 16 55 17;https://www.villachatabulls.es/;5;0;;
Caprichos caninos;Tienda de alimentos para animales;C. Nueva, 7;Valladolid;;636 82 58 00;;5;0;;
DiaCan;Peluquero de mascotas;C. Honorio García Condoy, 7;50007 Zaragoza;;660 19 03 84;;5;0;;
Vida de perros;Adiestrador canino;;;;617 05 23 33;;5;0;;
Fieras & Tijeras - Peluqueria canina;Peluquero de mascotas;C. de Juan Sánchez, 24;28035 Madrid;;611 82 37 69;;5;0;;
CREA VINCULO CANINO;Adiestrador canino;C/ de Villaviciosa, 15;28024 Madrid;;642 58 03 81;https://www.creavinculocanino.com/;5;0;;
By Mascota San Roque - Tienda Mascotas & Peluquería Canina;Tienda de productos para mascotas;C. Recaredo, 8;41003 Sevilla;;955 72 21 31;https://bymascota.com/tiendas/tiendas-mascotas-sevilla/tienda-mascotas-sevilla-san-roque/;5;0;;
Educatodo Sonora/ Sucursal Colosio;Juguetería;Blvd. Luis Donaldo Colosio Murrieta 785-L 13;México;;+52 662 352 1445;;5;0;;
Paseos y Guardería de mascotas Dog walker and Dog sitter TORACANINA;Paseador de perros;Carrer de Ferran;08002 Barcelona;;623 44 89 12;https://beacons.ai/toracanina;5;0;;
Veterinaria;Hospital veterinario;Cdad. Juarez - El Porvenir 880;México;;+52 656 288 0595;;5;0;;
Gonzalo ciriza;Adiestrador canino;C. del Cocherón de la Villa, 11;28031 Madrid;;608 63 11 46;;5;0;;
AMPE Amigos Peludos;Adiestrador canino;C. del Dr. Ramón Castroviejo;28035 Madrid;;623 96 93 97;http://www.ampeamigospeludos.com/;5;0;;
Pipican de Parc Migdia (Parc per a gossos);Parque para perros;Carrer Barcelona, 75;17003 Girona;;;;5;0;;
Adiestracan San Ignacio;Adiestrador canino;;;;613 95 78 34;https://www.adiestracansanignacio.es/;5;0;;
Ximena leon peluqueria estética canina;Peluquero de mascotas;Rambla Catalana, 53;Barcelona;;678 02 21 14;https://www.instagram.com/ximena.leon_dog_groomer?igsh=NWZyY3Awdml0Mzhj;5;0;;
Adiestramiento canino YunDog;Adiestrador canino;C. Bambú, 1, D;Murcia;;653 19 49 79;https://www.yundog.es/;5;0;;
Wiitbuckater caniches;Perrera;Carrer de Vicente Payà, 7;Alicante;;;;5;0;;
ADIESTRADOR EDUCADOR CANINO EN VIGO 🐾 Cuidando de tu mejor amigo 🐾;Adiestrador canino;Santiago de Ribarteme;Pontevedra;;653 99 74 70;https://sites.google.com/view/cuidandodetumejoramigo/home;5;0;;
Criadero de Mascotas Kosai;Criador canino;CA-31, 28;Sevilla;;601 54 55 73;https://sites.google.com/view/criadero-de-mascotas-kosai/quienes-somos?authuser=3;5;0;;
KINDERPET;Cuidador de mascotas;Coahuila 104;México;;+52 871 211 0621;https://www.instagram.com/kinderpet.mx;5;0;;
Educador de Perros;Adiestrador canino;C. Hermanos del Moral, 28;Madrid;;678 88 55 75;https://www.educadordeperros.es/;5;0;;
BroCan Adiestramiento Canino;Adiestrador canino;C. Cam. del Agua, 741;Sevilla;;676 98 61 49;https://www.instagram.com/brocan_adiestramiento/profilecard/?igsh=MTFibXhlNjI5ZGhjdA==;5;0;;
Selcan ( Centre Caní la Selva);Guardería canina;Carr. Vella de Riudarenes;Girona;;606 77 64 65;;5;0;;
Peluquería canina El Perro Barbero;Peluquero de mascotas;C. Pío XII, 28;30012 Murcia;;603 27 85 06;;5;0;;
Pawsy;Guardería canina;C. Proyecto 3 Rincons, 12;Valencia;;;;5;0;;
parque concordia;Parque;Av. Concordia & Av las Palmas 66612;México;;;;5;0;;
Good boy Academy;Adiestrador canino;C. de Rodríguez Marín, 52;28002 Madrid;;647 45 02 10;https://goodboymedia.es/;5;0;;
V;Médico;plaza punto bilbo local 1, Las Quintas;México;;+52 871 156 1620;http://www.facebook.com/encias.medicasvetrinarias;5;0;;
La Bañera Mágica (Autolavado de Mascotas);Peluquero de mascotas;Calle Padre Manjón, 20;47012 Valladolid;;657 74 76 94;https://www.instagram.com/autolavadomagico?igsh=MXJuMmtnczFhMzFwOQ==;5;0;;
Ohana, productos para mascotas-Semilleria.;Tienda de productos para mascotas;C. Parque de Grazalema, 5;41015 Sevilla;;854 64 36 56;;5;0;;
OXXO Palma Dorada NOG;Tienda de productos para mascotas;Bvld. Las Torres, Torres 258;México;;+52 81 8320 2020;https://www.oxxo.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp;5;0;;
Hotel para Tu Dog;Hotel;Plaça del Sainetista Arniches, 1-7;Valencia;;652 04 43 50;https://hotel-para-tu-perro-valencia.eatbu.com/;5;0;;
TIZA’S;Adiestrador canino;;;;609 83 60 82;https://www.tizastrainer.com/;5;0;;
Peluquería Canina Xiros;Peluquero de mascotas;Cam. Viejo de Simancas, 12;47008 Valladolid;;983 44 45 02;;5;0;;
Pet Shopping;Tienda de productos para mascotas;C. González Besada, 47;Asturias;;684 66 56 92;http://www.petshopping.es/;5;0;;
Parque Canino Bendinat;Parque;Carrer Upt4-P1;Illes Balears;;;;5;0;;
Perro de 10;Adiestrador canino;;;;611 73 48 66;https://adiestra.homiaweb.com/;5;0;;
Oreka - Txakur Heziketa / Educación canina;Adiestrador canino;Begoñalde Etxetaldea, 4;Bizkaia;;688 68 58 36;https://www.instagram.com/orekatxakurheziketa/;5;0;;
Refugi d'animals del Pla de l'Estany;Refugio para animales;Carrer de Puigpalter;Girona;;639 38 25 85;https://adoptaplaestany.cat/;5;0;;
SantosBichos Triana | Tienda de mascotas;Tienda de animales;C. Trabajo, 37;41010 Sevilla;;673 76 67 14;;5;0;;
Lovedog Barber;Peluquero de mascotas;Blas de Otero Kalea, 2A;Bizkaia;;614 27 23 15;;5;0;;
Fieras Adiestramiento;Adiestrador canino;Carrer de Roc Boronat, 5;08005 Barcelona;;722 33 83 67;http://fierasadiestramiento.org/;5;0;;
ANACP;Adiestrador canino;C. Damaso Alonso, 12;Murcia;;968 80 05 89;https://anacpp.es/;5;0;;
Adiestrador de Perros – K-9 Stan;Adiestrador canino;Carrer d'Ercilla, 18, Sotano 1a;08041 Barcelona;;+7 925 843-78-88;https://www.instagram.com/k9stan/;5;0;;
Actividades Caninas YouCan;Entrenador de mascotas;C. la Lista de Schindler, 39, Loc 3;50019 Zaragoza;;645 84 09 34;http://www.youcan.es/;5;0;;
Clínica Veterinaria Madrid;Hospital veterinario;Mina La Trinidad 1700;México;;+52 614 203 4156;https://www.facebook.com/share/1CwAEWRmCH/?mibextid=LQQJ4d;5;0;;
PerroTop;Adiestrador canino;;;;;http://www.perrotop.com/;5;0;;
Adiestramiento canino M.L.;Adiestrador canino;;;;633 73 53 29;;5;0;;
Grandes Metas;Adiestrador canino;C. Ugena, 3;28025 Madrid;;658 11 44 26;https://grandesmetas.com/;5;0;;
Veterinaria doggycare;Veterinario;Calle Ramírez, Blvd. Zaragoza 6959;México;;+52 614 246 9010;https://facebook.com/61568241436519;5;0;;
Dakan Educación Canina;Adiestrador canino;C. Jalea, 5;Málaga;;615 83 47 02;;5;0;;
Parque para perros;Parque para perros;L'Olivereta;Valencia;;;;5;0;;
Bunnie Michi House Guardería de conejos, cobayas y pequeños roedores 🐰🐹;Cuidador de mascotas;;;;;https://instagram.com/bunnie.michi_house?igshid=MzRlODBiNWFlZA==;5;0;;
Ohana Pets;Peluquero de mascotas;Carrer de Montbò, 2;17007 Girona;;633 59 88 32;;5;0;;
Lindogs & Cats;Peluquero de mascotas;C. Elche, 1;50002 Zaragoza;;695 51 33 99;;5;0;;
Citydog Somontes;Guardería canina;Carr Madrid-El Pardo, Km. 3;28035 Madrid;;654 98 77 77;https://citydogmadrid.com/guarderia-canina-somontes;5;0;;
Adiestrador canino joel llorente;Adiestrador canino;Partida Valverde Bajo;Alicante;;643 50 26 68;;5;0;;
Kyro - Adiestradora de perros;Adiestrador canino;;;;637 86 91 60;;5;0;;
DOC4DOGS;Adiestrador canino;Puerto Gomez;Málaga;;642 50 00 97;http://doc4dogs.eu/;5;0;;
Centre caní Ànimanimal;Adiestrador canino;Vial camino, 14;Girona;;664 62 47 15;https://www.animanimal.net/;5;0;;
Tis-Vet Veterinaria;Veterinario;Paseo Ignacio Zaragoza 1903;México;;;;5;0;;
exervet;Veterinario;;;;683 59 16 74;;5;0;;
Coquetes;Peluquero de mascotas;Carrer Joan Muntaner i Bujosa, 35;Illes Balears;;644 25 55 65;;5;0;;
Residencia Canina Payá Pau;Criador canino;Partida el volaor, 46B;Alicante;;661 66 99 90;https://centrocaninoguauguaus.com/servicios/;5;0;;
Wag & Roll;Guardería canina;C. de Toledo, 166;28005 Madrid;;613 92 84 49;https://www.wagandroll.com/;5;0;;
Interzoo Sevilla;Tienda de productos para mascotas;C. París, (localA;41012 Sevilla;;699 24 78 08;http://www.interzoo.es/;5;0;;
Balanced Dogs Mallorca Adiestramiento Canino;Adiestrador canino;Av. Mexico;Balearic Islands;;661 15 09 72;https://balanced-dogs-mallorca-adiestramiento-canino.ueniweb.com/?utm_campaign=gmb;5;0;;
Doggyperretes;Guardería canina;C. de Virgen de Nuria, 5, Loc 3 Esquina;28027 Madrid;;633 04 23 86;;5;0;;
Peluquería canina Murcia Patitas Felices;Peluquero de mascotas;C. Cuatro Caminos;Murcia;;614 50 33 01;;5;0;;
Casa rural Torre de Can Puig;Vil·la;Disseminat de Sant Daniel, 9;17007 Girona;;;https://www.torredecanpuig.com/;5;0;;
Polar Peluquería Canina;Peluquero de mascotas;C. de Trueba y Fernández, 7;28016 Madrid;;689 40 68 04;;5;0;;
