breed,sex,category_simple,bmi_ref,bmi_ideal_min,bmi_ideal_max,puppy_adj_min,puppy_adj_max,senior_note,notes
Bloodhound,U,large_general,106.64021328042656,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Bouvier des Flandres,U,large_general,97.04142011834318,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Boxer,F,large_general,81.44725507087479,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Boxer,M,large_general,86.11111111111111,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Briard,U,large_general,84.32016864033729,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Chesapeake Bay Retriever,U,large_general,86.15210790198432,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Chow Chow,U,large_general,99.96155324875048,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Clumber Spaniel,U,large_general,133.54459031235854,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Collie (Rough),U,large_general,72.56113947863477,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Collie (Smooth),U,large_general,72.56113947863477,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Dalmatian,U,large_general,75.97340930674265,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Doberman Pinscher,F,large_general,79.24946098712195,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Doberman Pinscher,M,large_general,80.6122448979592,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
English Foxhound,U,large_general,84.6546627250739,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
English Setter,U,large_general,73.31290186887807,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Flat-Coated Retriever,U,large_general,89.12265322521735,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
German Longhaired Pointer,U,large_general,82.84023668639053,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
German Shepherd Dog,F,large_general,81.66351606805294,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
German Shepherd Dog,M,large_general,89.6,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
German Shorthaired Pointer,U,large_general,75.97340930674265,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
German Wirehaired Pointer,U,large_general,79.2797635044343,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Golden Retriever,F,large_general,90.88010204081631,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Golden Retriever,M,large_general,88.97676717745922,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Gordon Setter,U,large_general,74.462890625,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Hovawart,U,large_general,79.345703125,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Irish Setter,U,large_general,71.23070834982192,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Irish Water Spaniel,U,large_general,78.48568790397046,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Labrador Retriever,F,large_general,86.20037807183367,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Labrador Retriever,M,large_general,91.80142645293412,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Old English Sheepdog,U,large_general,99.34984293958655,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Otterhound,U,large_general,99.40828402366863,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Pointer (English),U,large_general,63.90532544378698,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Rhodesian Ridgeback,U,large_general,82.84023668639053,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Rottweiler,F,large_general,124.28500812089543,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Spinone Italiano,U,large_general,79.28994082840237,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Standard Poodle,U,large_general,94.33106575963718,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Weimaraner,U,large_general,81.84016368032736,85,98,76.5,88.2,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Anatolian Shepherd Dog,U,large_molossoid,91.7590027700831,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Bernese Mountain Dog,U,large_molossoid,104.98046875,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Boerboel,U,large_molossoid,165.68047337278105,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Bullmastiff,U,large_molossoid,123.07692307692307,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Cane Corso,U,large_molossoid,106.50887573964496,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Dogue de Bordeaux,U,large_molossoid,140.380859375,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Great Pyrenees,U,large_molossoid,80.0,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Greater Swiss Mountain Dog,U,large_molossoid,115.93204775022956,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Kangal Shepherd Dog,U,large_molossoid,96.0,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Komondor,U,large_molossoid,91.31985731272295,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Kuvasz,U,large_molossoid,83.31680222178139,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Leonberger,U,large_molossoid,110.34482758620689,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Mastiff (English),U,large_molossoid,153.77777777777777,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Neapolitan Mastiff,U,large_molossoid,131.6872427983539,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Newfoundland,U,large_molossoid,126.80483776439873,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Saint Bernard,U,large_molossoid,103.12499999999999,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Tibetan Mastiff,U,large_molossoid,124.67366402045926,90,105,81.0,94.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
American Bulldog,U,medium_bully,114.74626050133188,85,100,76.5,90.0,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
American Bully (Standard),F,medium_bully,162.70661157024793,85,100,76.5,90.0,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
American Bully (Standard),M,medium_bully,153.91579900407424,85,100,76.5,90.0,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
American Pit Bull Terrier,F,medium_bully,85.5590241646433,85,100,76.5,90.0,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
American Pit Bull Terrier,M,medium_bully,93.31597222222223,85,100,76.5,90.0,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
American Staffordshire Terrier,F,medium_bully,108.57214998106299,85,100,76.5,90.0,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
American Staffordshire Terrier,M,medium_bully,137.66453326892886,85,100,76.5,90.0,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Bull Terrier (Miniature),U,medium_bully,134.37248051599033,85,100,76.5,90.0,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Bull Terrier (Standard),U,medium_bully,92.5847992593216,85,100,76.5,90.0,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Staffordshire Bull Terrier,U,medium_bully,96.95290858725761,85,100,76.5,90.0,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Airedale Terrier,U,medium_general,68.66827379647894,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
American Eskimo Dog (Standard),U,medium_general,70.30827474310439,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Australian Cattle Dog,U,medium_general,81.48483476686285,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Australian Shepherd,F,medium_general,87.74614835220896,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Basenji,U,medium_general,58.06357961968356,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Beagle (13-15 in),U,medium_general,89.26800238048007,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Bearded Collie,U,medium_general,78.60948554458905,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Border Collie,F,medium_general,63.25885113763902,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Border Collie,M,medium_general,62.869822485207095,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Brittany,U,medium_general,70.80383173677635,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Canaan Dog,U,medium_general,69.01775944785791,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Cardigan Welsh Corgi,U,medium_general,160.87331226659006,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Cocker Spaniel (American),U,medium_general,81.77777777777777,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Cocker Spaniel (English),U,medium_general,89.72921006248997,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
English Springer Spaniel,U,medium_general,87.74614835220896,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Field Spaniel,U,medium_general,98.47241509910364,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Finnish Spitz,U,medium_general,60.59840929175609,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Glen of Imaal Terrier,U,medium_general,129.757785467128,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Harrier,U,medium_general,92.14782864425057,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Icelandic Sheepdog,U,medium_general,60.7742105958515,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Irish Terrier,U,medium_general,54.32322317790856,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Keeshond,U,medium_general,90.89761393763413,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Kerry Blue Terrier,U,medium_general,65.89435646721225,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Lagotto Romagnolo,U,medium_general,68.17321045322561,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Norwegian Buhund,U,medium_general,81.12493239588967,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Norwegian Elkhound,U,medium_general,92.14782864425057,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Nova Scotia Duck Tolling Retriever,U,medium_general,86.80555555555556,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Pembroke Welsh Corgi,U,medium_general,145.45454545454544,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Portuguese Water Dog,U,medium_general,86.0,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Pyrenean Shepherd,U,medium_general,59.491617090319096,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Samoyed,U,medium_general,78.87517146776405,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Shar-Pei,U,medium_general,95.65309809756616,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Siberian Husky,F,medium_general,69.41972232111071,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Siberian Husky,M,medium_general,73.61578823713683,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Soft Coated Wheaten Terrier,U,medium_general,82.1156865112909,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Spanish Water Dog,U,medium_general,88.88888888888889,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Standard Schnauzer,U,medium_general,75.34626038781164,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Sussex Spaniel,U,medium_general,124.97997115846817,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Vizsla,U,medium_general,72.32994767620806,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Welsh Springer Spaniel,U,medium_general,81.48483476686285,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Wirehaired Pointing Griffon,U,medium_general,74.38016528925618,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Xoloitzcuintli (Standard),U,medium_general,48.81743960946048,78,92,70.2,82.8,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Afghan Hound,U,sighthound,59.25925925925925,60,75,54.0,67.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Borzoi,U,sighthound,81.3330688355485,60,75,54.0,67.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Greyhound,U,sighthound,64.62191358024691,60,75,54.0,67.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Ibizan Hound,U,sighthound,57.988165680473365,60,75,54.0,67.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Irish Wolfhound,U,sighthound,99.90817263544537,60,75,54.0,67.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Pharaoh Hound,U,sighthound,65.74621959237345,60,75,54.0,67.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
Saluki,U,sighthound,54.08328826392644,60,75,54.0,67.5,Usar banda adulto + BCS. Vigilar pérdida de masa muscular.,Entrada: raza + edad + peso (kg) + altura a la cruz (cm/m). BMI=kg/(m^2).
